Date (yyyymmddhhmm),CO2 (ppm)
198212302326,340.627
198212302326,340.597
198212302330,340.72
198212302330,340.62
198301072001,341.48
198301072001,341.58
198301072005,341.863
198301072005,341.597
198301142110,342.84
198301142110,342.9
198301142112,342.947
198301142112,342.94
198301212007,341.66
198301212007,341.72
198301212009,341.57
198301212009,341.587
198301282105,342.32
198301282105,342.31
198301282112,342.38
198301282112,342.277
198302042001,342.43
198302042001,342.55
198302042004,342.39
198302112005,342.27
198302112005,342.32
198302112007,342.427
198302112007,342.507
198302182000,343.05
198302182000,343.02
198302182003,343.13
198302252042,342.6
198302252042,342.81
198302252044,342.737
198302252044,343.05
198303041944,342.37
198303041944,342.29
198303041946,342.207
198303112002,342.24
198303112002,342.23
198303112004,342.26
198303112004,342.223
198303180009,344.24
198303180009,344.26
198303180110,344.057
198303180110,343.967
198303242326,342.87
198303242326,342.91
198303312151,343.51
198303312151,343.44
198304081945,344.8
198304081945,344.81
198304081947,344.943
198304081947,344.943
198304152002,345.91
198304152002,346.02
198304152004,345.96
198304152004,346.027
198304222044,345.73
198304222044,345.73
198304222046,345.71
198304222046,345.63
198304292040,346.48
198304292040,346.51
198304292043,346.273
198304292043,381.907
198305062008,345.75
198305062008,345.96
198305131945,345.65
198305131945,345.7
198305131947,345.697
198305131947,345.853
198305202001,346.21
198305202001,346.23
198305202003,346.553
198305202003,346.287
198305271943,346.5
198305271943,346.25
198305271945,346.193
198305271945,346.223
198306031942,345.83
198306031942,346.2
198306031944,345.74
198306031944,345.793
198306101944,346.04
198306101944,345.91
198306101947,345.95
198306101947,346.037
198306172335,344.95
198306172335,344.95
198306172337,344.453
198306172337,344.383
198306242024,345.23
198306242024,345.2
198306242038,345.04
198306242038,345.3
198306242041,345.233
198306242041,345.24
198307012024,344.21
198307012024,344.18
198307012035,344.3
198307012035,344.27
198307012037,344.313
198307012037,344.3
198307012038,344.387
198307012038,344.32
198307081930,345.33
198307081930,345.28
198307081937,345.33
198307081937,345.42
198307081939,345.293
198307081939,345.253
198307081940,345.267
198307081940,345.297
198307152028,343.74
198307152028,344.73
198307152040,343.82
198307152040,343.76
198307152042,343.76
198307152042,343.647
198307212243,342.263
198307212243,342.453
198307212245,342.297
198307212245,342.313
198307212248,342.42
198307212248,342.26
198307282305,339.973
198307282305,340.697
198307282307,340.71
198307282307,340.66
198308051927,342.76
198308051927,342.77
198308051940,342.73
198308051940,342.78
198308051942,342.733
198308051942,-999.99
198308051943,342.94
198308051943,343.277
198308122030,340.41
198308122030,340.51
198308122037,340.49
198308122037,340.55
198308122039,340.587
198308122039,340.42
198308122040,340.67
198308122040,340.643
198308191955,342.01
198308191955,341.92
198308192003,341.8
198308192003,342
198308192006,341.65
198308192006,341.867
198308192007,341.873
198308192007,341.73
198308262027,340.55
198308262027,340.53
198308262039,340.73
198308262039,341.31
198308262042,340.687
198308262042,340.63
198308262043,340.917
198308262043,340.787
198309022030,339.48
198309022030,339.66
198309022041,339.64
198309022041,339.81
198309022043,339.57
198309022043,339.573
198309022044,339.543
198309022044,339.56
198309091935,339.55
198309091935,339.48
198309091940,339.58
198309091940,339.75
198309091944,339.58
198309091944,339.62
198309091945,339.73
198309091945,-999.99
198309161932,340.39
198309161932,340.42
198309161938,340.48
198309161938,340.43
198309161941,340.273
198309161941,340.29
198309161942,340.283
198309161942,340.377
198309231930,339.62
198309231930,339.62
198309231939,339.53
198309231939,339.63
198309231942,339.54
198309231942,339.643
198309231943,339.757
198309231943,339.657
198309301933,339.99
198309301933,340
198309301938,340.09
198309301938,340.12
198309301941,340.163
198309301941,-999.99
198309301942,340.02
198309301942,-999.99
198310071935,339.47
198310071935,339.53
198310071940,339.62
198310071940,339.77
198310071943,339.67
198310071943,339.573
198310071944,339.56
198310071944,339.517
198310122232,339.48
198310122232,339.45
198310122240,339.55
198310122240,339.62
198310122242,339.68
198310122242,339.82
198310122243,340.507
198310122243,339.567
198310212030,340.5
198310212030,340.45
198310212041,340.54
198310212041,340.53
198310212044,340.463
198310212044,340.46
198310212047,340.503
198310212047,340.47
198310282144,341.493
198310282144,341.367
198310282230,340.73
198310282230,340.85
198311042130,340.19
198311042130,340.16
198311042140,340.08
198311042140,340.3
198311042143,340.173
198311042143,340.2
198311042144,340.227
198311042144,340.257
198311102123,341.783
198311102123,367.36
198311102130,-999.99
198311102130,341.033
198311102143,341.53
198311102143,341.54
198311162331,339.76
198311162331,339.68
198311172135,340.71
198311172135,340.67
198311172137,340.68
198311172137,340.73
198311172139,340.91
198311172139,343.457
198311172140,340.89
198311172140,340.81
198311252020,341.527
198311252020,341.53
198311252025,341.65
198311252025,341.667
198311252120,341.63
198311252120,341.74
198312022032,341.81
198312022032,341.91
198312022038,341.79
198312022038,341.87
198312022040,342
198312022040,342.087
198312022041,341.893
198312022041,341.81
198312091952,342.32
198312091952,342.34
198312091954,342.41
198312091954,342.397
198312091954,342.303
198312091954,342.32
198312162242,343.337
198312162242,342.96
198312162251,342.71
198312162251,343.127
198312162305,342.76
198312162305,342.83
198312231143,-999.99
198312231143,343.09
198312231144,343.167
198312231144,343.12
198312232148,342.96
198312232148,343
198312301932,343.78
198312301932,343.75
198312301938,343.73
198312301938,343.77
198312301940,343.97
198312301940,343.727
198312301941,343.647
198312301941,343.84
198401061930,344.39
198401061930,344.42
198401061941,344.58
198401061941,344.48
198401061943,344.507
198401061943,344.643
198401061944,344.437
198401061944,344.43
198401132032,343.35
198401132032,343.32
198401132039,343.31
198401132039,343.35
198401132042,343.487
198401132042,344.35
198401132043,343.385
198401132043,343.47
198401201932,343.68
198401201932,343.62
198401201942,343.69
198401201942,343.69
198401201945,343.67
198401201945,343.673
198401201946,343.62
198401201946,343.66
198401272132,344.39
198401272132,344.37
198401272138,344.28
198401272138,344.39
198401272140,344.623
198401272140,344.383
198401272141,344.483
198401272141,344.41
198402031934,344.96
198402031934,344.95
198402031942,344.92
198402031942,344.95
198402031945,345.013
198402031945,344.96
198402031946,345.217
198402031946,345.167
198402101930,344.84
198402101930,344.77
198402101938,344.77
198402101938,344.84
198402101940,344.63
198402101940,344.673
198402101941,344.787
198402101941,344.71
198402171933,344.29
198402171933,344.27
198402171937,344.36
198402171937,344.62
198402171940,344.267
198402171940,344.253
198402171941,344.717
198402171941,344.9
198402242030,344.52
198402242030,344.49
198402242038,344.47
198402242038,344.49
198402242040,344.46
198402242040,344.46
198402242041,344.54
198402242041,344.64
198403022030,344.85
198403022030,345.16
198403022044,344.78
198403022044,344.79
198403022047,344.867
198403022047,344.93
198403022049,345.01
198403022049,345.63
198403091930,344.84
198403091930,344.83
198403091943,345.12
198403091943,345
198403091948,344.98
198403091948,345.3
198403091949,344.89
198403091949,345.92
198403162015,345.863
198403162015,345.88
198403162015,345.62
198403162015,345.71
198403162018,345.717
198403162018,345.727
198403232032,345.68
198403232032,347.42
198403232042,345.48
198403232042,345.51
198403232044,345.783
198403232044,345.623
198403232046,345.48
198403232046,-999.99
198404032027,348.09
198404032027,347.98
198404032130,347.15
